date,confirmed,deaths
2020-01-22,555,17
2020-01-23,654,18
2020-01-24,941,26
2020-01-25,1434,42
2020-01-26,2118,56
2020-01-27,2927,82
2020-01-28,5578,131
2020-01-29,6166,133
2020-01-30,8234,171
2020-01-31,9927,213
2020-02-01,12038,259
2020-02-02,16787,362
2020-02-03,19881,426
2020-02-04,23892,492
2020-02-05,27635,564
2020-02-06,30794,634
2020-02-07,34391,719
2020-02-08,37120,806
2020-02-09,40150,906
2020-02-10,42762,1013
2020-02-11,44802,1113
2020-02-12,45221,1118
2020-02-13,60368,1371
2020-02-14,66885,1523
2020-02-15,69030,1666
2020-02-16,71224,1770
2020-02-17,73258,1868
2020-02-18,75136,2007
2020-02-19,75639,2122
2020-02-20,76197,2247
2020-02-21,76819,2251
2020-02-22,78572,2458
2020-02-23,78958,2469
2020-02-24,79561,2629
2020-02-25,80406,2708
2020-02-26,81388,2770
2020-02-27,82746,2814
2020-02-28,84112,2872
2020-02-29,86011,2941
2020-03-01,88369,2996
2020-03-02,90306,3085
2020-03-03,92840,3160
2020-03-04,95120,3254
2020-03-05,97886,3348
2020-03-06,101801,3460
2020-03-07,105847,3558
2020-03-08,109821,3802
2020-03-09,113590,3988
2020-03-10,118620,4262
2020-03-11,125875,4615
2020-03-12,135540,5009.5
2020-03-13,145205,5404
2020-03-14,156101,5819
2020-03-15,167454,6440
2020-03-16,181574,7126
2020-03-17,197102,7905
2020-03-18,214821,8733
2020-03-19,242500,9867
2020-03-20,272035,11299
2020-03-21,304396,12973
2020-03-22,336953,14651
2020-03-23,378235,16505
2020-03-24,418045,18625
2020-03-25,467653,21181
2020-03-26,529591,23970
2020-03-27,593291,27198
2020-03-28,660706,30652
2020-03-29,720117,33925
